1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,760278
1024,000000	4,032301
2048,000000	7,450469
3072,000000	11,032422
4096,000000	14,611719
5120,000000	18,131953
6144,000000	21,357187
7168,000000	25,009453
8192,000000	28,092656
9216,000000	31,612031
10240,000000	35,147500
11264,000000	38,573281
12288,000000	41,764453
13312,000000	45,261641
14336,000000	48,402422
15360,000000	51,446797
16384,000000	55,208281
17408,000000	58,547578
18432,000000	61,965547
19456,000000	64,900469
20480,000000	68,152500
21504,000000	71,237266
22528,000000	74,237813
23552,000000	77,674766
24576,000000	80,830391
25600,000000	84,033672
26624,000000	86,790625
27648,000000	89,990625
28672,000000	92,855000
29696,000000	95,778750
30720,000000	98,848047
31744,000000	101,812031
32768,000000	104,587656
33792,000000	107,548984
34816,000000	110,533984
35840,000000	113,459375
36864,000000	116,312109
37888,000000	119,020469
38912,000000	121,716406
39936,000000	124,227266
40960,000000	126,758984
41984,000000	129,629453
43008,000000	132,066016
44032,000000	134,425078
45056,000000	137,270469
46080,000000	139,639062
47104,000000	142,146875
48128,000000	144,817031
49152,000000	147,055781
50176,000000	149,557734
51200,000000	151,933828
52224,000000	154,339375
53248,000000	156,482422
54272,000000	158,585391
55296,000000	161,082422
56320,000000	163,128828
57344,000000	164,897500
58368,000000	167,298359
59392,000000	169,478906
60416,000000	171,669375
61440,000000	173,528594
62464,000000	175,513672
63488,000000	177,574922
64512,000000	179,478516
65536,000000	181,615078
66560,000000	183,724219
67584,000000	185,535313
68608,000000	187,336328
69632,000000	189,084609
70656,000000	190,836641
71680,000000	192,576719
72704,000000	194,195391
73728,000000	195,944062
74752,000000	197,541562
75776,000000	199,212031
76800,000000	200,757656
77824,000000	202,487500
78848,000000	203,877031
79872,000000	205,556953
80896,000000	206,772734
81920,000000	208,379453
82944,000000	209,716406
83968,000000	211,301016
84992,000000	212,721953
86016,000000	214,095234
87040,000000	215,465078
88064,000000	216,724219
89088,000000	218,077500
90112,000000	219,275469
91136,000000	220,447266
92160,000000	221,587344
93184,000000	222,822969
94208,000000	223,910547
95232,000000	224,817344
96256,000000	226,151250
97280,000000	227,191094
98304,000000	228,295000
99328,000000	229,292266
100352,000000	230,557422
101376,000000	231,404922
102400,000000	232,454922
103424,000000	233,217187
104448,000000	234,152500
105472,000000	235,104531
106496,000000	235,871484
107520,000000	236,822266
108544,000000	237,716641
109568,000000	238,521328
110592,000000	239,321797
111616,000000	240,190859
112640,000000	241,202344
113664,000000	241,924844
114688,000000	242,718437
115712,000000	243,483438
116736,000000	244,186406
117760,000000	244,889062
118784,000000	245,440078
119808,000000	246,135312
