1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,664763
1024,000000	4,412629
2048,000000	7,470480
3072,000000	10,497812
4096,000000	13,655234
5120,000000	17,244922
6144,000000	20,518047
7168,000000	23,716172
8192,000000	27,135156
9216,000000	30,543437
10240,000000	34,041250
11264,000000	36,991172
12288,000000	40,561875
13312,000000	43,681562
14336,000000	47,284219
15360,000000	50,443438
16384,000000	53,641172
17408,000000	56,659531
18432,000000	60,108047
19456,000000	62,943828
20480,000000	66,323984
21504,000000	69,515000
22528,000000	72,673984
23552,000000	75,886797
24576,000000	79,013984
25600,000000	81,601719
26624,000000	84,897344
27648,000000	87,616172
28672,000000	90,387344
29696,000000	93,486875
30720,000000	96,230234
31744,000000	99,438125
32768,000000	102,441719
33792,000000	105,403516
34816,000000	108,407031
35840,000000	110,936797
36864,000000	113,741641
37888,000000	116,486094
38912,000000	118,991328
39936,000000	122,080703
40960,000000	124,131641
41984,000000	126,973281
43008,000000	129,559766
44032,000000	132,053984
45056,000000	134,531016
46080,000000	137,246719
47104,000000	139,677969
48128,000000	141,943750
49152,000000	144,683281
50176,000000	146,848516
51200,000000	149,346094
52224,000000	151,522109
53248,000000	153,936094
54272,000000	156,225078
55296,000000	158,391719
56320,000000	160,437109
57344,000000	162,820625
58368,000000	164,904141
59392,000000	166,742266
60416,000000	169,138828
61440,000000	170,969219
62464,000000	173,017422
63488,000000	175,083828
64512,000000	177,323281
65536,000000	179,683516
66560,000000	181,434297
67584,000000	183,326875
68608,000000	185,173359
69632,000000	187,045313
70656,000000	188,782734
71680,000000	190,426094
72704,000000	192,470078
73728,000000	194,074219
74752,000000	195,673984
75776,000000	197,502266
76800,000000	198,994687
77824,000000	200,479219
78848,000000	202,067734
79872,000000	203,545547
80896,000000	205,192344
81920,000000	206,616641
82944,000000	208,218984
83968,000000	209,579688
84992,000000	211,087422
86016,000000	212,494141
87040,000000	213,734062
88064,000000	215,339844
89088,000000	216,568047
90112,000000	217,508359
91136,000000	218,970859
92160,000000	220,288203
93184,000000	221,622969
94208,000000	222,693125
95232,000000	223,781563
96256,000000	224,833047
97280,000000	226,136016
98304,000000	227,356328
99328,000000	228,239844
100352,000000	229,456641
101376,000000	230,415781
102400,000000	231,469609
103424,000000	232,398594
104448,000000	233,299844
105472,000000	234,134141
106496,000000	235,197891
107520,000000	236,105703
108544,000000	236,881875
109568,000000	237,678516
110592,000000	238,556563
111616,000000	239,309844
112640,000000	240,247578
113664,000000	241,154297
114688,000000	242,041719
115712,000000	242,881875
116736,000000	243,613750
117760,000000	244,280078
118784,000000	244,820625
119808,000000	245,573594
120832,000000	246,332656
121856,000000	246,729062
122880,000000	247,517734
123904,000000	248,020703
124928,000000	248,653125
125952,000000	249,218047
126976,000000	249,940937
128000,000000	250,385312
129024,000000	250,926641
130048,000000	251,371875
131072,000000	251,872031
132096,000000	252,446953
133120,000000	252,919219
134144,000000	253,364844
135168,000000	253,768047
136192,000000	254,186328
137216,000000	254,754219
138240,000000	254,987266
139264,000000	255,395000
140288,000000	255,829219
141312,000000	256,186094
142336,000000	256,706719
143360,000000	257,002109
144384,000000	257,435859
145408,000000	257,636797
146432,000000	258,096641
147456,000000	258,539609
148480,000000	258,722578
149504,000000	259,027812
150528,000000	259,295391
151552,000000	259,578906
152576,000000	259,926016
153600,000000	260,250000
154624,000000	260,495312
155648,000000	260,861562
156672,000000	261,020625
157696,000000	261,240000
158720,000000	261,438359
159744,000000	261,782344
160768,000000	261,984297
161792,000000	262,182109
162816,000000	262,469609
163840,000000	262,648516
164864,000000	262,906172
165888,000000	263,154453
166912,000000	263,230234
167936,000000	263,498437
168960,000000	263,667266
169984,000000	263,812188
171008,000000	263,956797
172032,000000	264,174609
173056,000000	264,360937
174080,000000	264,452109
175104,000000	264,592656
176128,000000	264,772813
177152,000000	264,920469
178176,000000	265,216328
179200,000000	265,267031
180224,000000	265,468047
181248,000000	265,703828
182272,000000	265,795703
183296,000000	266,002500
184320,000000	266,086016
185344,000000	266,260469
186368,000000	266,396797
187392,000000	266,412344
188416,000000	266,536094
189440,000000	266,772578
190464,000000	266,856953
191488,000000	266,908437
192512,000000	267,006406
193536,000000	267,115234
194560,000000	267,213125
195584,000000	267,251016
196608,000000	267,303203
197632,000000	267,357266
198656,000000	267,491172
199680,000000	267,455078
200704,000000	267,599922
201728,000000	267,675078
202752,000000	267,753125
203776,000000	267,705547
204800,000000	267,983437
205824,000000	267,935078
206848,000000	268,046016
207872,000000	267,976328
208896,000000	268,072188
209920,000000	268,194844
210944,000000	268,222578
211968,000000	268,303828
212992,000000	268,284297
214016,000000	268,461797
215040,000000	268,416875
216064,000000	268,399453
217088,000000	268,608594
218112,000000	268,565469
219136,000000	268,566406
220160,000000	268,616016
221184,000000	268,713750
222208,000000	268,652734
223232,000000	268,765078
224256,000000	268,801328
225280,000000	268,803281
226304,000000	268,899922
227328,000000	268,957656
228352,000000	268,828516
229376,000000	268,963906
230400,000000	268,929141
231424,000000	269,102188
232448,000000	269,088203
233472,000000	268,987578
234496,000000	269,040703
235520,000000	269,142344
236544,000000	269,124297
237568,000000	269,096875
238592,000000	269,191641
239616,000000	269,257656
240640,000000	269,201484
241664,000000	269,195625
242688,000000	269,214141
243712,000000	269,271719
244736,000000	269,278828
245760,000000	269,329844
246784,000000	269,377656
247808,000000	269,378672
248832,000000	269,380078
249856,000000	269,448750
250880,000000	269,462422
251904,000000	269,435938
252928,000000	269,423281
253952,000000	269,493203
254976,000000	269,488203
256000,000000	269,476641
257024,000000	269,480625
258048,000000	269,586641
259072,000000	269,473047
260096,000000	269,609687
