1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,615268
1024,000000	3,405701
2048,000000	6,942500
3072,000000	10,534687
4096,000000	13,455156
5120,000000	16,637031
6144,000000	20,243281
7168,000000	23,013203
8192,000000	26,063125
9216,000000	29,534844
10240,000000	32,831406
11264,000000	36,001172
12288,000000	39,329922
13312,000000	42,599375
14336,000000	45,724688
15360,000000	48,481719
16384,000000	51,341563
17408,000000	54,868516
18432,000000	58,270938
19456,000000	61,173281
20480,000000	64,316016
21504,000000	67,315703
22528,000000	70,228125
23552,000000	73,390156
24576,000000	76,190859
25600,000000	79,479844
26624,000000	82,297344
27648,000000	85,224922
28672,000000	88,243594
29696,000000	90,794375
30720,000000	93,924609
31744,000000	96,594766
32768,000000	99,756016
33792,000000	102,490547
34816,000000	105,550938
35840,000000	108,078906
36864,000000	110,663125
37888,000000	112,908125
38912,000000	115,847188
39936,000000	118,538438
40960,000000	120,920547
41984,000000	123,336094
43008,000000	126,161719
44032,000000	128,426094
45056,000000	130,883984
46080,000000	133,487734
47104,000000	135,943750
48128,000000	138,458281
49152,000000	140,955234
50176,000000	143,588125
51200,000000	145,273984
52224,000000	147,522578
53248,000000	150,016484
54272,000000	152,070625
55296,000000	154,265547
56320,000000	156,485156
57344,000000	158,644531
58368,000000	160,657813
59392,000000	162,888828
60416,000000	164,495547
61440,000000	166,604453
62464,000000	168,832031
63488,000000	171,058359
64512,000000	172,937109
65536,000000	175,314141
66560,000000	177,256563
67584,000000	179,080781
68608,000000	180,785937
69632,000000	182,613203
70656,000000	184,258672
71680,000000	185,947812
72704,000000	187,630859
73728,000000	189,507187
74752,000000	191,185000
75776,000000	192,894375
76800,000000	194,263516
77824,000000	196,011406
78848,000000	197,446953
79872,000000	199,302031
80896,000000	200,719766
81920,000000	202,262266
82944,000000	203,395625
83968,000000	205,060313
84992,000000	206,566797
86016,000000	208,085938
87040,000000	209,424141
88064,000000	210,878437
89088,000000	212,128437
90112,000000	213,408672
91136,000000	214,607812
92160,000000	215,819141
93184,000000	217,134297
94208,000000	218,244219
95232,000000	219,555078
96256,000000	220,516328
97280,000000	221,604766
98304,000000	222,845078
99328,000000	223,946484
100352,000000	225,087891
101376,000000	226,155937
102400,000000	227,146328
103424,000000	228,049766
104448,000000	229,077734
105472,000000	229,944609
106496,000000	230,987891
107520,000000	232,112344
108544,000000	233,030469
109568,000000	233,828047
110592,000000	234,666875
111616,000000	235,582031
112640,000000	236,329453
113664,000000	237,241875
114688,000000	238,203750
115712,000000	238,866172
116736,000000	239,739766
117760,000000	240,371797
118784,000000	241,251641
119808,000000	241,755547
120832,000000	242,629531
121856,000000	243,230312
122880,000000	243,711406
123904,000000	244,566719
124928,000000	245,137031
125952,000000	245,621328
126976,000000	246,365391
128000,000000	246,867500
129024,000000	247,457266
130048,000000	248,199844
131072,000000	248,470937
132096,000000	248,880937
133120,000000	249,389531
134144,000000	249,872344
135168,000000	250,400547
136192,000000	250,865234
137216,000000	251,368594
138240,000000	251,850937
139264,000000	252,334219
140288,000000	252,709062
141312,000000	253,064687
142336,000000	253,483672
143360,000000	253,897266
144384,000000	254,334453
145408,000000	254,733438
146432,000000	255,107344
147456,000000	255,477812
148480,000000	255,977812
149504,000000	256,225859
150528,000000	256,515781
151552,000000	256,933594
152576,000000	257,220469
153600,000000	257,574453
154624,000000	257,883125
155648,000000	258,178906
156672,000000	258,500000
157696,000000	258,749609
158720,000000	258,955000
159744,000000	259,258594
160768,000000	259,585078
161792,000000	259,870859
162816,000000	259,969453
163840,000000	260,280156
164864,000000	260,400078
165888,000000	260,652500
166912,000000	260,868828
167936,000000	261,163906
168960,000000	261,197344
169984,000000	261,451484
171008,000000	261,732734
172032,000000	261,927813
173056,000000	262,005547
174080,000000	262,192266
175104,000000	262,382734
176128,000000	262,530000
177152,000000	262,751484
178176,000000	262,820391
179200,000000	263,105547
180224,000000	263,218359
181248,000000	263,500391
182272,000000	263,543281
183296,000000	263,643672
184320,000000	263,778906
185344,000000	264,029297
186368,000000	264,105625
187392,000000	264,124219
188416,000000	264,327187
189440,000000	264,344531
190464,000000	264,573594
191488,000000	264,611094
192512,000000	264,719844
193536,000000	264,826719
194560,000000	264,909062
195584,000000	264,995078
196608,000000	265,260469
197632,000000	265,241250
198656,000000	265,623984
199680,000000	265,555781
200704,000000	265,640859
201728,000000	265,653047
202752,000000	265,918906
203776,000000	265,992500
204800,000000	266,132422
205824,000000	266,088906
206848,000000	266,239297
207872,000000	266,420312
208896,000000	266,382734
209920,000000	266,478594
210944,000000	266,570938
211968,000000	266,648281
212992,000000	266,799062
214016,000000	266,726094
215040,000000	266,841094
216064,000000	266,921406
217088,000000	266,929766
218112,000000	267,043672
219136,000000	267,114922
220160,000000	266,999453
221184,000000	267,126641
222208,000000	267,142500
223232,000000	267,197578
224256,000000	267,316797
225280,000000	267,217266
226304,000000	267,250000
227328,000000	267,440703
228352,000000	267,391562
229376,000000	267,519141
230400,000000	267,323047
231424,000000	267,515078
232448,000000	267,463984
233472,000000	267,512813
234496,000000	267,571953
235520,000000	267,600000
236544,000000	267,688750
237568,000000	267,755781
238592,000000	267,648750
239616,000000	267,621250
240640,000000	267,776016
241664,000000	267,879297
242688,000000	267,798828
243712,000000	267,808750
244736,000000	267,895000
245760,000000	267,912188
246784,000000	267,825859
247808,000000	267,927031
248832,000000	268,005156
249856,000000	268,112344
250880,000000	268,009453
251904,000000	267,995859
252928,000000	268,096016
253952,000000	268,183438
254976,000000	268,167812
256000,000000	268,165859
257024,000000	268,205078
258048,000000	268,204219
259072,000000	268,289141
260096,000000	268,256172
