1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,111377
1024,000000	4,196229
2048,000000	7,524609
3072,000000	10,547109
4096,000000	14,388047
5120,000000	17,852109
6144,000000	21,210078
7168,000000	24,609453
8192,000000	27,755469
9216,000000	31,338047
10240,000000	34,590000
11264,000000	37,915000
12288,000000	41,579141
13312,000000	44,454609
14336,000000	48,043281
15360,000000	51,597578
16384,000000	54,454219
17408,000000	57,695312
18432,000000	61,151875
19456,000000	64,428672
20480,000000	67,490078
21504,000000	70,583984
22528,000000	74,126875
23552,000000	77,217266
24576,000000	79,923125
25600,000000	83,280938
26624,000000	86,196797
27648,000000	89,177422
28672,000000	92,072109
29696,000000	94,961875
30720,000000	98,149531
31744,000000	101,044922
32768,000000	104,508594
33792,000000	107,351172
34816,000000	110,281953
35840,000000	112,842500
36864,000000	115,617109
37888,000000	118,424219
38912,000000	121,352031
39936,000000	123,824375
40960,000000	126,453906
41984,000000	129,090313
43008,000000	131,707031
44032,000000	134,069375
45056,000000	136,717734
46080,000000	139,251016
47104,000000	141,730547
48128,000000	144,276719
49152,000000	146,936719
50176,000000	149,106094
51200,000000	151,780703
52224,000000	153,815391
53248,000000	155,991484
54272,000000	158,207109
55296,000000	160,551484
56320,000000	162,487344
57344,000000	164,744141
58368,000000	166,953438
59392,000000	168,931875
60416,000000	171,144688
61440,000000	173,088047
62464,000000	175,316094
63488,000000	177,173828
64512,000000	179,351328
65536,000000	181,474844
66560,000000	183,390234
67584,000000	185,214531
68608,000000	186,939375
69632,000000	188,913437
70656,000000	190,451719
71680,000000	192,340703
72704,000000	193,935156
73728,000000	195,669844
74752,000000	197,382344
75776,000000	198,991797
76800,000000	200,342734
77824,000000	202,005937
78848,000000	203,596484
79872,000000	205,161094
80896,000000	206,727969
81920,000000	208,231406
82944,000000	209,498672
83968,000000	210,982578
84992,000000	212,218125
86016,000000	213,819219
87040,000000	215,188438
88064,000000	216,559531
89088,000000	217,794922
90112,000000	218,906641
91136,000000	220,146875
92160,000000	221,400313
93184,000000	222,593828
94208,000000	223,675859
95232,000000	224,780469
96256,000000	225,987344
97280,000000	226,837891
98304,000000	228,026406
99328,000000	229,118281
100352,000000	230,210859
101376,000000	231,194063
102400,000000	232,103125
103424,000000	232,832578
104448,000000	233,840156
105472,000000	234,785078
106496,000000	235,625703
107520,000000	236,432969
108544,000000	237,509297
109568,000000	238,323438
110592,000000	239,314453
111616,000000	240,091172
112640,000000	240,825469
113664,000000	241,570234
114688,000000	242,393594
115712,000000	242,966328
116736,000000	243,861641
117760,000000	244,570234
118784,000000	245,111797
119808,000000	245,688516
120832,000000	246,433906
121856,000000	247,173672
122880,000000	247,631094
123904,000000	248,161953
124928,000000	248,602422
125952,000000	249,262969
126976,000000	249,844219
128000,000000	250,417891
129024,000000	250,858828
130048,000000	251,401016
131072,000000	251,828906
132096,000000	252,252109
133120,000000	252,700156
134144,000000	253,127187
135168,000000	253,509688
136192,000000	253,922188
137216,000000	254,355234
138240,000000	254,800234
139264,000000	255,213984
140288,000000	255,475781
141312,000000	255,834453
142336,000000	256,197812
143360,000000	256,604531
144384,000000	256,981328
145408,000000	257,255703
146432,000000	257,578438
147456,000000	257,955391
148480,000000	258,346719
149504,000000	258,591641
150528,000000	258,907500
151552,000000	259,110312
152576,000000	259,430078
153600,000000	259,723594
154624,000000	260,025469
155648,000000	260,347266
156672,000000	260,537109
157696,000000	260,988203
158720,000000	261,056953
159744,000000	261,315469
160768,000000	261,476953
161792,000000	261,757266
162816,000000	261,835312
163840,000000	262,061875
164864,000000	262,340938
165888,000000	262,398750
166912,000000	262,568672
167936,000000	262,758125
168960,000000	262,985156
169984,000000	263,113281
171008,000000	263,279688
172032,000000	263,538984
173056,000000	263,690937
174080,000000	263,915234
175104,000000	263,876797
176128,000000	264,143750
177152,000000	264,200859
178176,000000	264,253828
179200,000000	264,474922
180224,000000	264,551094
181248,000000	264,724531
182272,000000	264,759062
183296,000000	264,940703
184320,000000	264,957031
185344,000000	265,073125
186368,000000	265,209453
187392,000000	265,262266
188416,000000	265,454453
189440,000000	265,516016
190464,000000	265,675781
191488,000000	265,792266
192512,000000	266,056953
193536,000000	266,095938
194560,000000	266,294141
195584,000000	266,307969
196608,000000	266,539063
197632,000000	266,512891
198656,000000	266,675469
199680,000000	266,838047
